FitMethod,TemporalRes,sigmaC,q5Kt,q25Kt,q50Kt,q75Kt,q95Kt,q5Ve,q25Ve,q50Ve,q75Ve,q95Ve,q5Kep,q25Kep,q50Kep,q75Kep,q95Kep,q5Vp,q25Vp,q50Vp,q75Vp,q95Vp
ETM,12.000000,0.000000,-51.384161,-18.946434,-3.760760,13.599120,78.863507,-22.967091,-5.640690,-1.998894,2.062646,18.138586,-40.249740,-16.187249,-2.146408,15.355596,60.622046,-329.425801,-26.022612,4.813908,60.324237,486.114312
ERTM,12.000000,0.000000,-51.454668,-9.314519,-0.105606,3.647348,21.021378,-31.398649,-3.619342,-0.246901,2.027448,18.117461,-40.486570,-5.806813,0.191346,2.058763,12.549701,-81.399288,-29.104402,7.278175,53.573455,93.347909
RTM,12.000000,0.000000,3.228761,6.930705,26.629670,71.205584,231.328747,-4.888541,1.603035,6.311478,23.394975,61.727916,2.159210,4.787180,15.688736,37.381407,150.070200,NaN,NaN,NaN,NaN,NaN
CERRM,12.000000,0.000000,-28.994525,-4.311928,-0.164172,2.926049,21.447027,-17.100704,-2.204383,-0.098818,1.610698,12.538071,-22.802122,-1.961724,-0.028686,1.707524,16.004702,-41.903726,-25.986876,1.815590,29.229405,81.340434
ERRM,12.000000,0.000000,-38.844406,-5.750546,-0.156058,5.197906,44.582851,-22.344092,-3.753070,-0.199487,2.531712,24.676634,-37.066076,-3.962639,-0.220047,4.442602,179.206205,-45.870744,-31.655471,0.863685,34.416347,79.545203
TM,12.000000,0.000000,-22.894637,3.350370,36.644556,91.378074,255.988156,-5.500198,1.076829,7.503244,22.026517,82.484068,-22.056935,-1.366341,23.906428,59.118706,164.441613,NaN,NaN,NaN,NaN,NaN
RRM,12.000000,0.000000,-6.891370,6.930552,26.279224,84.800957,274.854185,-6.624942,2.516359,9.671251,25.232916,93.643192,-456.963740,-12.214308,9.173941,42.837454,423.729819,NaN,NaN,NaN,NaN,NaN
CRRM,12.000000,0.000000,2.886254,6.741252,26.256132,69.879286,222.890213,-5.664031,1.909773,6.309258,23.833485,54.360500,3.853959,6.648751,17.531401,39.084220,150.112761,NaN,NaN,NaN,NaN,NaN
ETM,13.000000,0.000000,-62.553672,-22.751093,-4.649551,12.647619,95.851418,-33.204729,-7.112094,-2.532974,2.196816,21.347749,-49.235941,-19.472212,-2.648175,16.377890,71.252468,-342.893894,-28.120420,6.954179,85.683002,708.638716
ERTM,13.000000,0.000000,-54.384815,-9.023888,0.103972,5.478737,29.787634,-36.028811,-3.735964,-0.162085,3.011565,24.168375,-49.915607,-6.291744,0.339671,2.714290,16.079368,-105.100852,-37.928058,3.488198,60.422830,113.201466
